feature,mean_abs_shap,corr,year,area,season
dead_fuel_moisture_100hr,0.04367466,0.39793245822635764,2001,North Interior,winter
max_relative_humidity,0.0638523,0.612750358708426,2001,North Interior,winter
precipitation_amount,0.07151601,-0.6854446360851941,2001,North Interior,winter
wind_speed,0.08256774,0.7337453018923576,2001,North Interior,winter
min_relative_humidity,0.08447317,-0.6787670649171703,2001,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.10964682,-0.8297301365955329,2001,North Interior,winter
min_air_temperature,0.12397256,-0.2189967832575975,2001,North Interior,winter
slope_max,0.14070597,-0.6909010889659348,2001,North Interior,winter
specific_humidity,0.16484576,-0.8824972653394276,2001,North Interior,winter
LAI,0.1816699,0.8555880554873223,2001,North Interior,winter
dead_fuel_moisture_1000hr,0.18539648,-0.8212129030169907,2001,North Interior,winter
line_density_km_per_cell,0.23640792,0.8519193557369117,2001,North Interior,winter
road_density_km_km2,0.5276418,0.763683152782835,2001,North Interior,winter
max_air_temperature,1.0032543,0.9726165703236286,2001,North Interior,winter
wind_speed,0.03247639,0.7645128109998459,2001,Sierra Nevada,summer
wind_direction_category_S,0.047495283,0.9352716105215115,2001,Sierra Nevada,summer
wind_direction_category_SW,0.059774924,0.9029506404673303,2001,Sierra Nevada,summer
min_air_temperature,0.06359508,0.6581424588296135,2001,Sierra Nevada,summer
min_relative_humidity,0.06840627,0.2093907768658073,2001,Sierra Nevada,summer
max_relative_humidity,0.076381505,0.4837163933025303,2001,Sierra Nevada,summer
specific_humidity,0.076399624,-0.7468299048407684,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.094105534,-0.28492159136399564,2001,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.10220425,0.6949278490600767,2001,Sierra Nevada,summer
slope_max,0.137789,0.45710361459961174,2001,Sierra Nevada,summer
line_density_km_per_cell,0.17706528,0.8369098562960823,2001,Sierra Nevada,summer
LAI,0.18749109,0.837427565701311,2001,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.268806,0.38499730130003923,2001,Sierra Nevada,summer
max_air_temperature,0.54353034,0.9397485136375047,2001,Sierra Nevada,summer
road_density_km_km2,0.60805565,0.7581418498864749,2001,Sierra Nevada,summer
SWE,0.043380402,-0.7944661145631116,2001,Sierra Nevada,winter
dead_fuel_moisture_100hr,0.070223935,-0.17099536785986647,2001,Sierra Nevada,winter
max_relative_humidity,0.07285357,0.6254255857714848,2001,Sierra Nevada,winter
min_relative_humidity,0.07388182,-0.4435112206216599,2001,Sierra Nevada,winter
precipitation_amount,0.08261645,-0.8958685379083761,2001,Sierra Nevada,winter
wind_speed,0.085292295,0.7823920267923227,2001,Sierra Nevada,winter
surface_downwelling_shortwave_flux_in_air,0.09450738,0.043572301382136795,2001,Sierra Nevada,winter
min_air_temperature,0.11100561,0.3378850854287979,2001,Sierra Nevada,winter
slope_max,0.11991123,0.4222235900516072,2001,Sierra Nevada,winter
line_density_km_per_cell,0.18104814,0.7891436334019896,2001,Sierra Nevada,winter
specific_humidity,0.18876411,-0.7385756610694945,2001,Sierra Nevada,winter
LAI,0.19047825,0.6782344973854467,2001,Sierra Nevada,winter
dead_fuel_moisture_1000hr,0.21382268,-0.6483997047021612,2001,Sierra Nevada,winter
road_density_km_km2,0.57570326,0.7078258512555238,2001,Sierra Nevada,winter
max_air_temperature,0.6389284,0.948376650637355,2001,Sierra Nevada,winter
precipitation_amount,0.030224806,-0.6373371823469607,2001,South Coast,summer
wind_speed,0.03464775,0.6782488195914199,2001,South Coast,summer
min_air_temperature,0.051561356,0.2259223001763508,2001,South Coast,summer
dead_fuel_moisture_100hr,0.0700885,-0.25750922379911584,2001,South Coast,summer
min_relative_humidity,0.07212717,-0.30474526935629076,2001,South Coast,summer
specific_humidity,0.080523975,-0.6239062836175814,2001,South Coast,summer
max_relative_humidity,0.08639943,0.7533961566240752,2001,South Coast,summer
surface_downwelling_shortwave_flux_in_air,0.13250004,0.7622452015945609,2001,South Coast,summer
wind_direction_category_SW,0.13338959,0.824535420425484,2001,South Coast,summer
slope_max,0.16059186,-0.030067851652467094,2001,South Coast,summer
dead_fuel_moisture_1000hr,0.18593492,0.03017075156784115,2001,South Coast,summer
LAI,0.27526408,0.5668417983267299,2001,South Coast,summer
line_density_km_per_cell,0.36578053,0.577076580184456,2001,South Coast,summer
road_density_km_km2,0.84231055,0.6252848280699989,2001,South Coast,summer
max_air_temperature,0.91335,0.8667867607904332,2001,South Coast,summer
wind_direction_category_SW,0.038143344,0.7041974259356163,2001,South Coast,winter
precipitation_amount,0.043938503,-0.9324635345274831,2001,South Coast,winter
wind_speed,0.07750931,0.6259901051840671,2001,South Coast,winter
dead_fuel_moisture_100hr,0.08775298,-0.34370626435469204,2001,South Coast,winter
min_air_temperature,0.0960616,0.20888185343427965,2001,South Coast,winter
max_relative_humidity,0.102892786,0.4360613761022054,2001,South Coast,winter
slope_max,0.13015692,-0.1836111760839364,2001,South Coast,winter
surface_downwelling_shortwave_flux_in_air,0.13048074,0.13143359901533944,2001,South Coast,winter
min_relative_humidity,0.15875116,-0.7009301692179062,2001,South Coast,winter
LAI,0.18165492,0.780973344037412,2001,South Coast,winter
line_density_km_per_cell,0.26270953,0.6944639887174936,2001,South Coast,winter
specific_humidity,0.26386464,-0.8536569435428858,2001,South Coast,winter
dead_fuel_moisture_1000hr,0.26394024,-0.5406032346616815,2001,South Coast,winter
max_air_temperature,0.46789068,0.9636996465164788,2001,South Coast,winter
road_density_km_km2,0.76006174,0.6540380570554957,2001,South Coast,winter
wind_direction_category_N,0.030326905,-0.18248001986928306,2002,North Coast,summer
precipitation_amount,0.031725816,-0.5654836078512608,2002,North Coast,summer
min_relative_humidity,0.06372962,0.11277628660246677,2002,North Coast,summer
dead_fuel_moisture_100hr,0.06528046,0.5436886166041257,2002,North Coast,summer
min_air_temperature,0.07244782,0.7422060183098578,2002,North Coast,summer
wind_speed,0.08450673,0.48007455173568797,2002,North Coast,summer
specific_humidity,0.09618533,-0.733362499511583,2002,North Coast,summer
max_relative_humidity,0.11185641,0.8360678962728036,2002,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.15138322,0.7185556910216333,2002,North Coast,summer
dead_fuel_moisture_1000hr,0.1819899,-0.8655992555592842,2002,North Coast,summer
LAI,0.2629227,0.5773845675744786,2002,North Coast,summer
slope_max,0.41481155,0.3921776170224443,2002,North Coast,summer
line_density_km_per_cell,0.49090087,0.1786419176892458,2002,North Coast,summer
max_air_temperature,0.70020884,0.832407609166852,2002,North Coast,summer
road_density_km_km2,0.8098121,0.5222644746135917,2002,North Coast,summer
wind_direction_category_N,0.032742795,0.34322394655473143,2002,North Coast,winter
min_air_temperature,0.09581931,0.7013141596881619,2002,North Coast,winter
min_relative_humidity,0.09967247,-0.6395196447815228,2002,North Coast,winter
precipitation_amount,0.101539396,-0.9472839971489996,2002,North Coast,winter
max_relative_humidity,0.103216976,0.7585261202942664,2002,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.106580265,-0.4285517349668457,2002,North Coast,winter
wind_speed,0.11339552,0.5713831777867378,2002,North Coast,winter
specific_humidity,0.1235123,-0.7281636346200728,2002,North Coast,winter
dead_fuel_moisture_100hr,0.13379252,0.283008117468754,2002,North Coast,winter
dead_fuel_moisture_1000hr,0.17969671,-0.8592471176332125,2002,North Coast,winter
LAI,0.21399048,0.5692565577268787,2002,North Coast,winter
slope_max,0.26367125,0.44348681285312486,2002,North Coast,winter
line_density_km_per_cell,0.3084965,0.41830698119343623,2002,North Coast,winter
max_air_temperature,0.44927457,0.9154826883527809,2002,North Coast,winter
road_density_km_km2,0.73094124,0.58508243156764,2002,North Coast,winter
wind_direction_category_S,0.0304166,0.8943977289510402,2002,Central Coast,summer
min_relative_humidity,0.043780014,0.01583163859888288,2002,Central Coast,summer
wind_speed,0.05245101,0.654892461597397,2002,Central Coast,summer
dead_fuel_moisture_100hr,0.055904493,-0.026625600793778136,2002,Central Coast,summer
wind_direction_category_SW,0.062886275,0.9204731489475485,2002,Central Coast,summer
specific_humidity,0.08772619,-0.6454315351182188,2002,Central Coast,summer
max_relative_humidity,0.08985005,0.7735968986001773,2002,Central Coast,summer
min_air_temperature,0.10083991,0.6446698055221625,2002,Central Coast,summer
slope_max,0.15292282,-0.4047371888548236,2002,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.18066011,0.786845752717992,2002,Central Coast,summer
LAI,0.18110567,0.7374969710844478,2002,Central Coast,summer
dead_fuel_moisture_1000hr,0.18543205,-0.614211804776891,2002,Central Coast,summer
line_density_km_per_cell,0.23068912,0.7508529756818266,2002,Central Coast,summer
road_density_km_km2,0.5908212,0.571114538075225,2002,Central Coast,summer
max_air_temperature,0.7637848,0.916006972163784,2002,Central Coast,summer
min_relative_humidity,0.051141217,-0.16366052618272348,2002,Central Coast,winter
wind_direction_category_SW,0.054891985,0.9130794324284703,2002,Central Coast,winter
precipitation_amount,0.056483954,-0.9633676944840603,2002,Central Coast,winter
wind_speed,0.059505526,0.6101484460151904,2002,Central Coast,winter
max_relative_humidity,0.07612692,0.7102341047579969,2002,Central Coast,winter
min_air_temperature,0.077704996,0.645586032501448,2002,Central Coast,winter
dead_fuel_moisture_100hr,0.079977475,0.005673146775178407,2002,Central Coast,winter
specific_humidity,0.10867729,-0.7808516171697654,2002,Central Coast,winter
surface_downwelling_shortwave_flux_in_air,0.14931166,0.31372893276951697,2002,Central Coast,winter
slope_max,0.15334365,-0.6011059373290027,2002,Central Coast,winter
dead_fuel_moisture_1000hr,0.19518165,-0.8813726094298691,2002,Central Coast,winter
line_density_km_per_cell,0.20263521,0.623703445036319,2002,Central Coast,winter
LAI,0.30190226,0.7624808114218703,2002,Central Coast,winter
max_air_temperature,0.45444143,0.939920619986719,2002,Central Coast,winter
road_density_km_km2,0.5872822,0.5658282228163556,2002,Central Coast,winter
precipitation_amount,0.039171863,-0.9736412141114861,2002,North Interior,summer
wind_speed,0.041889247,0.6909921785047323,2002,North Interior,summer
wind_direction_category_SW,0.052913606,0.9313589725368606,2002,North Interior,summer
min_relative_humidity,0.05292266,0.39476357472229895,2002,North Interior,summer
dead_fuel_moisture_100hr,0.0603841,-0.1604734300125451,2002,North Interior,summer
max_relative_humidity,0.0830645,0.7712864632394895,2002,North Interior,summer
specific_humidity,0.09637375,-0.7625200110420077,2002,North Interior,summer
surface_downwelling_shortwave_flux_in_air,0.10294951,0.689768319951504,2002,North Interior,summer
slope_max,0.1379697,0.23383327956875888,2002,North Interior,summer
min_air_temperature,0.15783733,0.8811459740311482,2002,North Interior,summer
line_density_km_per_cell,0.1795899,0.6776281202160935,2002,North Interior,summer
LAI,0.21812895,0.8348153848364146,2002,North Interior,summer
dead_fuel_moisture_1000hr,0.22475004,-0.6109847159236858,2002,North Interior,summer
road_density_km_km2,0.5451224,0.6993064175117393,2002,North Interior,summer
max_air_temperature,0.5655918,0.9457197134459853,2002,North Interior,summer
wind_direction_category_SW,0.04807722,0.852625518233554,2002,North Interior,winter
max_relative_humidity,0.07223724,0.776972865593325,2002,North Interior,winter
wind_speed,0.081038065,0.6958550567462417,2002,North Interior,winter
dead_fuel_moisture_100hr,0.08507919,-0.4950945664453331,2002,North Interior,winter
slope_max,0.10391542,0.2288228540077177,2002,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.104357295,0.3216550474043709,2002,North Interior,winter
precipitation_amount,0.14948367,-0.8979192388155706,2002,North Interior,winter
specific_humidity,0.2070954,-0.5985286884080713,2002,North Interior,winter
min_relative_humidity,0.20869698,-0.9438524436412408,2002,North Interior,winter
min_air_temperature,0.21103562,0.5427677183072723,2002,North Interior,winter
line_density_km_per_cell,0.22434933,0.7159054859169095,2002,North Interior,winter
dead_fuel_moisture_1000hr,0.23122808,-0.9260294452822238,2002,North Interior,winter
LAI,0.30430374,0.84928681715312,2002,North Interior,winter
max_air_temperature,0.5531078,0.9555318108356348,2002,North Interior,winter
road_density_km_km2,0.66050875,0.8302383770981329,2002,North Interior,winter
wind_direction_category_S,0.041618,0.902601558924218,2002,Sierra Nevada,summer
wind_speed,0.043050017,0.8105715070945514,2002,Sierra Nevada,summer
min_relative_humidity,0.053639214,0.3209826972558461,2002,Sierra Nevada,summer
wind_direction_category_SW,0.056678217,0.9048141380232304,2002,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.076985575,-0.32789449400272813,2002,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.08864031,0.7569059481996476,2002,Sierra Nevada,summer
min_air_temperature,0.0899865,0.8261255452437054,2002,Sierra Nevada,summer
max_relative_humidity,0.09361461,0.5892861494235458,2002,Sierra Nevada,summer
specific_humidity,0.09641102,-0.7139454669482918,2002,Sierra Nevada,summer
slope_max,0.12980281,0.23133709274320072,2002,Sierra Nevada,summer
line_density_km_per_cell,0.17946154,0.7902022888774594,2002,Sierra Nevada,summer
LAI,0.19755681,0.7879522468259726,2002,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.2472251,-0.19428122364791017,2002,Sierra Nevada,summer
max_air_temperature,0.501905,0.9443023866373546,2002,Sierra Nevada,summer
road_density_km_km2,0.61382633,0.7081920712616331,2002,Sierra Nevada,summer
wind_direction_category_SW,0.05012244,0.9224825745858131,2002,Sierra Nevada,winter
dead_fuel_moisture_100hr,0.06400653,-0.2808873078951928,2002,Sierra Nevada,winter
wind_speed,0.06758595,0.7130845527824947,2002,Sierra Nevada,winter
min_relative_humidity,0.069512405,-0.4994876644415938,2002,Sierra Nevada,winter
max_relative_humidity,0.07090427,0.5235754566613511,2002,Sierra Nevada,winter
precipitation_amount,0.07251752,-0.8737358637197838,2002,Sierra Nevada,winter
surface_downwelling_shortwave_flux_in_air,0.09475344,0.5344732366482955,2002,Sierra Nevada,winter
min_air_temperature,0.117112994,0.7230957726068596,2002,Sierra Nevada,winter
slope_max,0.119592965,0.5534413913534044,2002,Sierra Nevada,winter
line_density_km_per_cell,0.1672873,0.7334375040578813,2002,Sierra Nevada,winter
specific_humidity,0.19087131,-0.6588097311317134,2002,Sierra Nevada,winter
dead_fuel_moisture_1000hr,0.22083256,-0.6505340743038127,2002,Sierra Nevada,winter
LAI,0.23202807,0.811949667976535,2002,Sierra Nevada,winter
max_air_temperature,0.34572488,0.9193874715658075,2002,Sierra Nevada,winter
road_density_km_km2,0.60712487,0.7435454888758981,2002,Sierra Nevada,winter
precipitation_amount,0.030537263,-0.9082565581828054,2002,South Coast,summer
wind_speed,0.044252023,0.7019441124187256,2002,South Coast,summer
min_relative_humidity,0.05873572,-0.09311242997770151,2002,South Coast,summer
dead_fuel_moisture_100hr,0.059140593,-0.18506699473105992,2002,South Coast,summer
min_air_temperature,0.08182477,0.553490152343619,2002,South Coast,summer
specific_humidity,0.095080614,-0.6706701266245445,2002,South Coast,summer
max_relative_humidity,0.1037594,0.8273799784818141,2002,South Coast,summer
surface_downwelling_shortwave_flux_in_air,0.13172467,0.7940045302761356,2002,South Coast,summer
slope_max,0.14662628,-0.10044662017529885,2002,South Coast,summer
wind_direction_category_SW,0.15929614,0.876510131886505,2002,South Coast,summer
dead_fuel_moisture_1000hr,0.1646559,-0.10760227950576495,2002,South Coast,summer
LAI,0.26031616,0.5112631382700588,2002,South Coast,summer
line_density_km_per_cell,0.27897516,0.4952583012497742,2002,South Coast,summer
max_air_temperature,0.7571668,0.8575488010251686,2002,South Coast,summer
road_density_km_km2,0.7872038,0.6727076646669564,2002,South Coast,summer
precipitation_amount,0.051882293,-0.8874688978220288,2002,South Coast,winter
wind_speed,0.05945656,0.6497357120317073,2002,South Coast,winter
dead_fuel_moisture_100hr,0.07311925,0.25437841716785936,2002,South Coast,winter
wind_direction_category_SW,0.08646952,0.8985863011092091,2002,South Coast,winter
min_air_temperature,0.089307144,0.6556641002673753,2002,South Coast,winter
min_relative_humidity,0.08932015,-0.5609088746017857,2002,South Coast,winter
max_relative_humidity,0.12231861,0.8391049762944116,2002,South Coast,winter
surface_downwelling_shortwave_flux_in_air,0.13762753,-0.01484219666318325,2002,South Coast,winter
specific_humidity,0.15299799,-0.8263720193607602,2002,South Coast,winter
slope_max,0.17601533,-0.08327623706402959,2002,South Coast,winter
dead_fuel_moisture_1000hr,0.2121864,-0.5685061642196088,2002,South Coast,winter
line_density_km_per_cell,0.24707736,0.643749102003464,2002,South Coast,winter
LAI,0.3769037,0.6966452285873042,2002,South Coast,winter
max_air_temperature,0.43802994,0.951951435520456,2002,South Coast,winter
road_density_km_km2,0.71827,0.5695120112813162,2002,South Coast,winter
precipitation_amount,0.031694487,-0.36302613583476995,2003,North Coast,summer
wind_direction_category_N,0.040784374,0.5237325885978359,2003,North Coast,summer
dead_fuel_moisture_100hr,0.05733778,-0.4956442910308793,2003,North Coast,summer
min_air_temperature,0.061517134,0.69374176155033,2003,North Coast,summer
min_relative_humidity,0.07012097,0.05053798539131777,2003,North Coast,summer
wind_speed,0.088002,0.7383593750573958,2003,North Coast,summer
specific_humidity,0.096319884,-0.5773055099377377,2003,North Coast,summer
max_relative_humidity,0.116545014,0.8260615725311383,2003,North Coast,summer
dead_fuel_moisture_1000hr,0.1726599,-0.8999773502979104,2003,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.17549886,0.7384159567394987,2003,North Coast,summer
LAI,0.23489952,0.6844777645453319,2003,North Coast,summer
slope_max,0.33734682,0.33619160150374106,2003,North Coast,summer
line_density_km_per_cell,0.3773412,0.23554133044940279,2003,North Coast,summer
max_air_temperature,0.67036504,0.8285796930230546,2003,North Coast,summer
road_density_km_km2,0.7495033,0.5762379564774132,2003,North Coast,summer
wind_direction_category_N,0.041957367,0.6147811472589673,2003,North Coast,winter
precipitation_amount,0.04316858,-0.48457209282074515,2003,North Coast,winter
min_relative_humidity,0.06896276,-0.2986360542554089,2003,North Coast,winter
min_air_temperature,0.106769875,0.6065194566561837,2003,North Coast,winter
dead_fuel_moisture_100hr,0.1079623,-0.35810669489993713,2003,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.11349957,0.49207702890317295,2003,North Coast,winter
wind_speed,0.12477178,0.8360487295446947,2003,North Coast,winter
max_relative_humidity,0.12678297,0.6993700303370859,2003,North Coast,winter
specific_humidity,0.17264572,-0.8794436173021957,2003,North Coast,winter
LAI,0.1827979,0.7032572266839592,2003,North Coast,winter
dead_fuel_moisture_1000hr,0.22608577,-0.8654353579264162,2003,North Coast,winter
slope_max,0.24263112,0.3465076471307816,2003,North Coast,winter
line_density_km_per_cell,0.28076127,0.2588263752192481,2003,North Coast,winter
max_air_temperature,0.35994,0.8836353327633565,2003,North Coast,winter
road_density_km_km2,0.64909446,0.6127907087526628,2003,North Coast,winter
wind_direction_category_S,0.028373573,0.8457428933493505,2003,Central Coast,summer
wind_speed,0.05125052,0.5221785536340428,2003,Central Coast,summer
min_relative_humidity,0.054383717,-0.09530336545555386,2003,Central Coast,summer
wind_direction_category_SW,0.055388916,0.9504834936713706,2003,Central Coast,summer
dead_fuel_moisture_100hr,0.068340234,-0.3458613164438087,2003,Central Coast,summer
specific_humidity,0.09082718,-0.6829382362766966,2003,Central Coast,summer
max_relative_humidity,0.09457222,0.8012698688196156,2003,Central Coast,summer
min_air_temperature,0.13707414,0.6340071242203047,2003,Central Coast,summer
LAI,0.14903674,0.7240300989973161,2003,Central Coast,summer
slope_max,0.15237686,-0.3974501367401523,2003,Central Coast,summer
dead_fuel_moisture_1000hr,0.15563197,-0.5693150950308437,2003,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.1797436,0.773924993944916,2003,Central Coast,summer
line_density_km_per_cell,0.25053182,0.7826774458441462,2003,Central Coast,summer
road_density_km_km2,0.60464346,0.5501482232269221,2003,Central Coast,summer
max_air_temperature,0.7832119,0.8695068601696918,2003,Central Coast,summer
precipitation_amount,0.028822154,-0.9638797105340149,2003,Central Coast,winter
wind_direction_category_SW,0.04265231,0.8787937467763134,2003,Central Coast,winter
min_relative_humidity,0.07765572,-0.40944043551001386,2003,Central Coast,winter
wind_speed,0.07903334,0.8210019907440109,2003,Central Coast,winter
dead_fuel_moisture_100hr,0.081820205,-0.3183257610862329,2003,Central Coast,winter
min_air_temperature,0.10288097,0.7748708400700173,2003,Central Coast,winter
max_relative_humidity,0.1038258,0.8201734888871625,2003,Central Coast,winter
surface_downwelling_shortwave_flux_in_air,0.10730423,0.3200878534302987,2003,Central Coast,winter
slope_max,0.126597,-0.16528118702828373,2003,Central Coast,winter
dead_fuel_moisture_1000hr,0.16868022,-0.8301899698439587,2003,Central Coast,winter
specific_humidity,0.18089944,-0.809401969294893,2003,Central Coast,winter
LAI,0.22737151,0.695406709739294,2003,Central Coast,winter
line_density_km_per_cell,0.23582205,0.61786083300993,2003,Central Coast,winter
max_air_temperature,0.25781018,0.8938959775925177,2003,Central Coast,winter
road_density_km_km2,0.56450415,0.40510535581657975,2003,Central Coast,winter
wind_speed,0.037511252,0.5364121610699186,2003,North Interior,summer
wind_direction_category_S,0.040167723,0.9309015014810252,2003,North Interior,summer
min_relative_humidity,0.0579646,0.5548761921906996,2003,North Interior,summer
wind_direction_category_SW,0.06131358,0.9500078659200722,2003,North Interior,summer
dead_fuel_moisture_100hr,0.0673215,-0.563329124217988,2003,North Interior,summer
max_relative_humidity,0.072871074,0.684655792671577,2003,North Interior,summer
specific_humidity,0.0940421,-0.7964162551886539,2003,North Interior,summer
min_air_temperature,0.105113804,0.8517962302576423,2003,North Interior,summer
