feature,year,relative_importance
wind_direction_category_SW,2005,2.3733191570732557
wind_direction_category_W,2005,1.0987304316530235
wind_direction_category_NW,2005,1.1582406819836661
veg_group_Barren,2005,1.736188863947249
veg_group_Chaparral,2005,2.5061841810678165
veg_group_Conifer Alpine,2005,3.1285582669611043
veg_group_Conifer Forest,2005,2.4718463779044613
veg_group_Desert,2005,3.427068378803779
veg_group_Grassland,2005,5.053780597734136
veg_group_Oak Woodland,2005,2.0590117754273956
veg_group_Shrub,2005,3.8127911109653385
veg_group_Wetland,2005,1.9093447858617878
dead_fuel_moisture_1000hr,2006,2.8691807573456742
dead_fuel_moisture_100hr,2006,1.6290700515276306
max_air_temperature,2006,20.46481225547578
max_relative_humidity,2006,1.406871745564207
min_air_temperature,2006,2.027198868250517
min_relative_humidity,2006,1.559294036004342
precipitation_amount,2006,1.83984191429298
specific_humidity,2006,1.393667269458732
surface_downwelling_shortwave_flux_in_air,2006,1.8679198864435511
wind_speed,2006,1.3853952039629083
SWE,2006,5.316064837040808
LAI,2006,2.3030339768719936
slope_max,2006,3.438118628684947
road_density_km_km2,2006,9.481542750192125
line_density_km_per_cell,2006,3.6522753665305108
wind_direction_category_N,2006,1.7930330917674455
wind_direction_category_NE,2006,1.5993167788549325
wind_direction_category_E,2006,1.3715946108550228
wind_direction_category_SE,2006,1.7249302234237105
wind_direction_category_S,2006,2.200110482444641
wind_direction_category_SW,2006,2.01769419357662
wind_direction_category_W,2006,1.3031167020130823
wind_direction_category_NW,2006,1.66014816821863
veg_group_Barren,2006,2.0199679438889455
veg_group_Chaparral,2006,2.1984958344049987
veg_group_Conifer Alpine,2006,3.0297440285524755
veg_group_Conifer Forest,2006,2.447696428180959
veg_group_Desert,2006,3.2217199023300154
veg_group_Grassland,2006,4.53113593887384
veg_group_Oak Woodland,2006,3.1693541998485353
veg_group_Shrub,2006,4.1563965497383135
veg_group_Wetland,2006,0.9212573753811238
dead_fuel_moisture_1000hr,2007,2.9236124808210016
dead_fuel_moisture_100hr,2007,1.6345611398279765
max_air_temperature,2007,21.695502544173515
max_relative_humidity,2007,1.416232166731972
min_air_temperature,2007,2.100673931957605
min_relative_humidity,2007,1.4660961872214537
precipitation_amount,2007,1.7194440003737979
specific_humidity,2007,1.3719899133894864
surface_downwelling_shortwave_flux_in_air,2007,1.7677929301073947
wind_speed,2007,1.4081204465656796
SWE,2007,4.4664433201936
LAI,2007,2.4692660366415655
slope_max,2007,3.710182033035832
road_density_km_km2,2007,9.879649282262127
line_density_km_per_cell,2007,3.6983734840538207
wind_direction_category_N,2007,1.4508512948319148
wind_direction_category_NE,2007,1.3043142932127747
wind_direction_category_E,2007,2.0126587965741285
wind_direction_category_SE,2007,0.8116097832278487
wind_direction_category_S,2007,2.0872230441303166
wind_direction_category_SW,2007,2.5634666638721844
wind_direction_category_W,2007,1.4586421765859956
wind_direction_category_NW,2007,1.158457483770241
veg_group_Barren,2007,1.4277817045776457
veg_group_Chaparral,2007,2.318854556448308
veg_group_Conifer Alpine,2007,2.413802086656924
veg_group_Conifer Forest,2007,2.060344488257439
veg_group_Desert,2007,4.5198889920102125
veg_group_Grassland,2007,5.239473712553887
veg_group_Oak Woodland,2007,1.454010382988913
veg_group_Shrub,2007,4.488260332223974
veg_group_Wetland,2007,1.5024203107204661
dead_fuel_moisture_1000hr,2008,2.7720505159055855
dead_fuel_moisture_100hr,2008,1.5428014448518854
max_air_temperature,2008,18.113140905028335
max_relative_humidity,2008,1.1999427507061944
min_air_temperature,2008,1.8207716587170046
min_relative_humidity,2008,1.4383216826370933
precipitation_amount,2008,1.4789529684256952
specific_humidity,2008,1.332587100720765
surface_downwelling_shortwave_flux_in_air,2008,1.7121511158498497
wind_speed,2008,1.3302257016630086
SWE,2008,3.749743182721673
LAI,2008,2.2975888850437047
slope_max,2008,2.9584338979917524
road_density_km_km2,2008,10.097711811111528
line_density_km_per_cell,2008,4.109801404896635
wind_direction_category_N,2008,1.9247650798436429
wind_direction_category_NE,2008,1.3271287386546722
wind_direction_category_E,2008,0.6786571516660967
wind_direction_category_SE,2008,0.9320301634015852
wind_direction_category_S,2008,2.2147578510209334
wind_direction_category_SW,2008,1.6157002099215942
wind_direction_category_W,2008,1.1820511027649032
wind_direction_category_NW,2008,1.5156638442766146
veg_group_Barren,2008,1.8656480240139013
veg_group_Chaparral,2008,3.5400786046586656
veg_group_Conifer Alpine,2008,3.13426153942644
veg_group_Conifer Forest,2008,2.4271582427946305
veg_group_Desert,2008,3.39774366388264
veg_group_Grassland,2008,4.8096384373538825
veg_group_Oak Woodland,2008,1.9815222289680976
veg_group_Shrub,2008,7.211871575017919
veg_group_Wetland,2008,4.287098516063072
dead_fuel_moisture_1000hr,2009,3.682983098526993
dead_fuel_moisture_100hr,2009,1.6468862295566102
max_air_temperature,2009,14.63560238594005
max_relative_humidity,2009,1.3813687660651222
min_air_temperature,2009,2.5218067579453587
min_relative_humidity,2009,1.6607894895952098
precipitation_amount,2009,1.5376544388946531
specific_humidity,2009,1.4267488031047948
surface_downwelling_shortwave_flux_in_air,2009,1.7747057476203976
wind_speed,2009,1.3303283383301192
SWE,2009,5.365143514110712
LAI,2009,2.6097222679589573
slope_max,2009,3.9856606312409344
road_density_km_km2,2009,12.800925234385314
line_density_km_per_cell,2009,3.8661733780526037
wind_direction_category_N,2009,2.4918888763275344
wind_direction_category_NE,2009,0.9642263113524787
wind_direction_category_E,2009,1.1798777798077902
wind_direction_category_SE,2009,1.082936415844078
wind_direction_category_S,2009,2.1273690883735954
wind_direction_category_SW,2009,1.7841585072375745
wind_direction_category_W,2009,1.3932209689675992
wind_direction_category_NW,2009,1.6826778662804158
veg_group_Barren,2009,1.4458377113933099
veg_group_Chaparral,2009,2.458906965054558
veg_group_Conifer Alpine,2009,4.32270071008401
veg_group_Conifer Forest,2009,3.0049918199904826
veg_group_Desert,2009,2.880448900186574
veg_group_Grassland,2009,3.88950463930184
veg_group_Oak Woodland,2009,2.502748267127736
veg_group_Shrub,2009,4.643698756254905
veg_group_Wetland,2009,1.9183073350876894
dead_fuel_moisture_1000hr,2010,2.8465473680094773
dead_fuel_moisture_100hr,2010,1.865777621687287
max_air_temperature,2010,13.945245439412236
max_relative_humidity,2010,1.4436001233315368
min_air_temperature,2010,4.068144275804049
min_relative_humidity,2010,1.5272668054646479
precipitation_amount,2010,1.4463243407094235
specific_humidity,2010,1.3045450664337035
surface_downwelling_shortwave_flux_in_air,2010,1.849255308736807
wind_speed,2010,1.3930003448817418
SWE,2010,5.01364040441394
LAI,2010,2.4254709295428007
slope_max,2010,3.92430677715373
road_density_km_km2,2010,13.753934593348118
line_density_km_per_cell,2010,3.697608063894254
wind_direction_category_N,2010,1.3343103507614034
wind_direction_category_NE,2010,1.2861521132371043
wind_direction_category_E,2010,0.868464324839997
wind_direction_category_SE,2010,1.1081819313934576
wind_direction_category_S,2010,1.9691096044466794
wind_direction_category_SW,2010,2.3574881529245593
wind_direction_category_W,2010,1.4072941861247499
wind_direction_category_NW,2010,1.545836247240538
veg_group_Barren,2010,3.462427150015534
veg_group_Chaparral,2010,2.469215652325155
veg_group_Conifer Alpine,2010,4.014649165803715
veg_group_Conifer Forest,2010,2.808092621671038
veg_group_Desert,2010,2.275767352730507
veg_group_Grassland,2010,3.8121841721812246
veg_group_Oak Woodland,2010,2.2691909860524673
veg_group_Shrub,2010,5.067054031474916
veg_group_Wetland,2010,1.4399144939532
dead_fuel_moisture_1000hr,2011,3.1144332087748228
dead_fuel_moisture_100hr,2011,1.9747138762940224
max_air_temperature,2011,14.241816129059938
max_relative_humidity,2011,1.3248200495306937
min_air_temperature,2011,2.5664668240909525
min_relative_humidity,2011,1.4772040100297377
precipitation_amount,2011,1.4199879129775252
specific_humidity,2011,1.3896662381728897
surface_downwelling_shortwave_flux_in_air,2011,1.7369414244319925
wind_speed,2011,1.308802398989111
SWE,2011,5.422947307024283
LAI,2011,2.3727954124566404
slope_max,2011,3.534113966527565
road_density_km_km2,2011,14.896611573964817
line_density_km_per_cell,2011,4.152394004675354
wind_direction_category_N,2011,1.3101335793780595
wind_direction_category_NE,2011,1.8681483828959224
wind_direction_category_E,2011,1.3705737297499498
wind_direction_category_SE,2011,1.0244401360745834
wind_direction_category_S,2011,2.607839744413931
wind_direction_category_SW,2011,2.1544204888384293
wind_direction_category_W,2011,1.394102769586691
wind_direction_category_NW,2011,2.3308783883905924
veg_group_Barren,2011,2.8895263886620857
veg_group_Chaparral,2011,3.075560726218483
veg_group_Conifer Alpine,2011,3.985828611188701
veg_group_Conifer Forest,2011,2.6944342616986487
veg_group_Desert,2011,2.363278016249087
veg_group_Grassland,2011,3.633833439860173
veg_group_Oak Woodland,2011,1.6289354172579757
veg_group_Shrub,2011,4.191599171846526
veg_group_Wetland,2011,0.5427524106898164
dead_fuel_moisture_1000hr,2012,3.403603403916037
dead_fuel_moisture_100hr,2012,2.135033022563716
max_air_temperature,2012,15.090473403448632
max_relative_humidity,2012,1.4250681767399462
min_air_temperature,2012,2.6064272564775695
min_relative_humidity,2012,1.659557041567041
precipitation_amount,2012,1.5201210167855912
specific_humidity,2012,1.4342504597601342
surface_downwelling_shortwave_flux_in_air,2012,1.8576117042230276
wind_speed,2012,1.3639126896426157
SWE,2012,4.6410117848153565
LAI,2012,2.687688356581877
slope_max,2012,4.0243867937286995
road_density_km_km2,2012,14.664683507229796
line_density_km_per_cell,2012,4.193210625340038
wind_direction_category_N,2012,1.5632063969190002
wind_direction_category_NE,2012,0.9876921115707268
wind_direction_category_E,2012,1.1757784822806656
wind_direction_category_SE,2012,1.096170948336427
wind_direction_category_S,2012,1.722984487134986
wind_direction_category_SW,2012,2.25806776153664
wind_direction_category_W,2012,1.2689036370835558
wind_direction_category_NW,2012,1.741707263065618
veg_group_Barren,2012,2.457336043820814
veg_group_Chaparral,2012,2.3885812148850016
veg_group_Conifer Alpine,2012,3.9824939398966066
veg_group_Conifer Forest,2012,3.2555828659312627
veg_group_Desert,2012,2.262501691844898
veg_group_Grassland,2012,4.940430053083579
veg_group_Oak Woodland,2012,1.9442020710279588
veg_group_Shrub,2012,4.247321788762181
veg_group_Wetland,2012,0.0
dead_fuel_moisture_1000hr,2013,3.624248786313052
dead_fuel_moisture_100hr,2013,2.6881719314160697
max_air_temperature,2013,10.56151135463264
max_relative_humidity,2013,1.5166439560069696
min_air_temperature,2013,3.88163156159585
min_relative_humidity,2013,1.857132310047311
precipitation_amount,2013,1.6449786891874407
specific_humidity,2013,1.5777828532126954
surface_downwelling_shortwave_flux_in_air,2013,1.8969422925338406
wind_speed,2013,1.6268652529349528
SWE,2013,4.684080148747623
LAI,2013,3.0026012584126542
slope_max,2013,4.391729668835615
road_density_km_km2,2013,16.087515173082675
line_density_km_per_cell,2013,4.332128656883767
wind_direction_category_N,2013,1.1940511935945481
wind_direction_category_NE,2013,1.4054853184658092
wind_direction_category_E,2013,0.8854337176904189
wind_direction_category_SE,2013,1.1532771263998418
wind_direction_category_S,2013,2.082710568474399
wind_direction_category_SW,2013,2.004625794387438
wind_direction_category_W,2013,1.2500840642747302
wind_direction_category_NW,2013,2.1361853864261473
veg_group_Barren,2013,2.3472010859603434
veg_group_Chaparral,2013,2.300654186110289
veg_group_Conifer Alpine,2013,3.7133505308774706
veg_group_Conifer Forest,2013,2.902178778351455
veg_group_Desert,2013,1.7568425525471172
veg_group_Grassland,2013,3.553582105680912
veg_group_Oak Woodland,2013,2.225202308301201
veg_group_Shrub,2013,4.629543350725031
veg_group_Wetland,2013,1.0856280378896925
dead_fuel_moisture_1000hr,2014,3.2292136154230646
dead_fuel_moisture_100hr,2014,2.987725501218054
max_air_temperature,2014,11.793456451033917
max_relative_humidity,2014,1.5813108298640326
min_air_temperature,2014,3.17398647798133
min_relative_humidity,2014,1.9349094960883682
precipitation_amount,2014,1.5083705369955316
specific_humidity,2014,1.4835476047560148
surface_downwelling_shortwave_flux_in_air,2014,1.8272123225049246
