year,area,season,fire_num
2014,North Interior,summer,36
2014,North Interior,winter,29
2014,North Interior,all,119
2014,Sierra Nevada,summer,235
2014,Sierra Nevada,winter,145
2014,Sierra Nevada,all,613
2014,South Coast,summer,155
2014,South Coast,winter,101
2014,South Coast,all,503
2015,All,summer,903
2015,All,winter,261
2015,All,all,2115
2015,North Coast,summer,165
2015,North Coast,winter,38
2015,North Coast,all,368
2015,Central Coast,summer,343
2015,Central Coast,winter,64
2015,Central Coast,all,742
2015,North Interior,summer,44
2015,North Interior,winter,6
2015,North Interior,all,85
2015,Sierra Nevada,summer,189
2015,Sierra Nevada,winter,63
2015,Sierra Nevada,all,493
2015,South Coast,summer,162
2015,South Coast,winter,90
2015,South Coast,all,427
2016,All,summer,1113
2016,All,winter,312
2016,All,all,2246
2016,North Coast,summer,187
2016,North Coast,winter,60
2016,North Coast,all,376
2016,Central Coast,summer,420
2016,Central Coast,winter,104
2016,Central Coast,all,793
2016,North Interior,summer,50
2016,North Interior,winter,15
2016,North Interior,all,117
2016,Sierra Nevada,summer,278
2016,Sierra Nevada,winter,59
2016,Sierra Nevada,all,526
2016,South Coast,summer,178
2016,South Coast,winter,74
2016,South Coast,all,434
2017,All,summer,1208
2017,All,winter,296
2017,All,all,2243
2017,North Coast,summer,159
2017,North Coast,winter,22
2017,North Coast,all,263
2017,Central Coast,summer,473
2017,Central Coast,winter,91
2017,Central Coast,all,828
2017,North Interior,summer,69
2017,North Interior,winter,14
2017,North Interior,all,129
2017,Sierra Nevada,summer,276
2017,Sierra Nevada,winter,68
2017,Sierra Nevada,all,475
2017,South Coast,summer,231
2017,South Coast,winter,101
2017,South Coast,all,548
2018,All,summer,1035
2018,All,winter,522
2018,All,all,2422
2018,North Coast,summer,134
2018,North Coast,winter,59
2018,North Coast,all,292
2018,Central Coast,summer,401
2018,Central Coast,winter,162
2018,Central Coast,all,886
2018,North Interior,summer,58
2018,North Interior,winter,28
2018,North Interior,all,124
2018,Sierra Nevada,summer,246
2018,Sierra Nevada,winter,108
2018,Sierra Nevada,all,564
2018,South Coast,summer,196
2018,South Coast,winter,165
2018,South Coast,all,556
2019,All,summer,624
2019,All,winter,471
2019,All,all,1528
2019,North Coast,summer,79
2019,North Coast,winter,80
2019,North Coast,all,213
2019,Central Coast,summer,185
2019,Central Coast,winter,172
2019,Central Coast,all,491
2019,North Interior,summer,25
2019,North Interior,winter,19
2019,North Interior,all,63
2019,Sierra Nevada,summer,180
2019,Sierra Nevada,winter,103
2019,Sierra Nevada,all,379
2019,South Coast,summer,155
2019,South Coast,winter,97
2019,South Coast,all,382
2020,All,summer,842
2020,All,winter,321
2020,All,all,1814
2020,North Coast,summer,103
2020,North Coast,winter,47
2020,North Coast,all,228
2020,Central Coast,summer,238
2020,Central Coast,winter,72
2020,Central Coast,all,509
2020,North Interior,summer,46
2020,North Interior,winter,11
2020,North Interior,all,99
2020,Sierra Nevada,summer,212
2020,Sierra Nevada,winter,90
2020,Sierra Nevada,all,466
2020,South Coast,summer,243
2020,South Coast,winter,101
2020,South Coast,all,512
