year,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,max_air_temperature,max_relative_humidity,min_air_temperature,min_relative_humidity,precipitation_amount,specific_humidity,surface_downwelling_shortwave_flux_in_air,SWE,wind_from_direction,wind_speed
1993,,,,,,,,,,0.03963011889035667,,
1994,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
1995,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
1996,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
1997,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
1998,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
1999,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
2000,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.023152332614892582,0.03963011889035667,0.023152332614892582,0.023152332614892582
2001,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7460260829232379,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021799708369564907,0.02037127164013071
2002,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.020371652607387526,0.817490016276826,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.02188352116606458,0.02037127164013071
2003,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7397866011910941,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021668655633219965,0.02037127164013071
2004,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7875223824118409,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.0218208806769072,0.02037127164013071
2005,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7253725145458061,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021524459526514845,0.02037127164013071
2006,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7235516815418507,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021594557501769116,0.02037127164013071
2007,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.8040613014412944,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021755706651402577,0.02037127164013071
2008,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.8143318861938179,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021953854903842537,0.02037127164013071
2009,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7962272812557443,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021809423034613733,0.02037127164013071
2010,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7542587853430467,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.02154350788935568,0.02037127164013071
2011,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7887275598380509,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021750373109807146,0.02037127164013071
2012,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7974177544908246,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.027487482376165853,0.02037127164013071
2013,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.8729270381033926,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.02146045702736964,0.02037127164013071
2014,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.82794090054945,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.021925808531571233,0.02037127164013071
2015,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.8232660513410524,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.020440798164499757,0.02037127164013071
2016,0.02037127164013071,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.00041715914621428076,0.02037127164013071,0.7671226162945098,0.02037127164013071,0.02037127164013071,0.03963011889035667,0.020440798164499757,0.02037127164013071
