,LONGITUDE,LATITUDE,DISCOVERY_DATE,CONT_DATE,max_FIRE_SIZE,min_FIRE_SIZE,FOD_ID_cnt,diff_FIRE_SIZE
839,-120.53,38.46111111,2/11/2002,2/11/2002,0.1,0.1,2,0.0
840,-121.68888888,37.60111111,8/21/2004,8/21/2004,0.1,0.1,2,0.0
841,-121.66888888,37.875,6/9/2002,6/9/2002,85.0,4.0,2,81.0
842,-118.0752,34.5656,7/15/2010,missing date,3.0,0.11,2,2.89
843,-120.166666,34.9,12/4/2016,missing date,0.46,0.2,2,0.26
844,-121.77215,41.799061,7/9/2001,7/9/2001,2.0,0.1,2,1.9
845,-118.78833333,34.69277778,6/16/2006,6/16/2006,8.0,1.0,2,7.0
846,-118.0753,35.7753,7/22/2006,7/22/2006,0.2,0.2,2,0.0
847,-121.338046,38.698531,10/30/2019,missing date,2.0,1.0,2,1.0
848,-119.736344,36.754089,12/10/2020,missing date,0.05,0.05,2,0.0
849,-122.328139,38.8465,9/3/2003,9/3/2003,1.0,1.0,2,0.0
850,-121.53111111,37.74305555,7/23/2008,missing date,1.0,0.5,2,0.5
851,-118.910784,35.274012,9/30/2006,missing date,0.3,0.1,2,0.19999999999999998
852,-121.04805555,39.27805555,4/15/2004,4/15/2004,1.0,0.1,2,0.9
853,-122.197339,39.848738,5/14/2012,missing date,0.25,0.25,2,0.0
854,-119.08,36.05888888,8/17/2003,8/17/2003,0.2,0.2,2,0.0
855,-122.07305555,38.715,6/24/2001,6/24/2001,0.5,0.1,2,0.4
856,-118.35888888,37.36888888,7/4/2005,7/4/2005,0.3,0.1,2,0.19999999999999998
857,-122.108747,37.930402,6/11/2008,missing date,5.0,3.0,2,2.0
858,-117.55805555,33.96111111,10/13/2008,missing date,0.1,0.1,2,0.0
859,-121.77194444,40.445,1/5/2001,missing date,0.1,0.1,2,0.0
860,-117.9041,34.0884,9/5/2009,missing date,1.0,0.11,2,0.89
861,-120.13805555,37.10611111,6/23/2003,6/23/2003,1.0,0.3,2,0.7
862,-123.6573,41.0307,7/5/2006,7/5/2006,1.0,0.5,2,0.5
