feature,mean_abs_shap,corr,year,area,season
SWE,0.06725588,-0.997826624678677,2001,North Interior,winter
precipitation_amount,0.07450223,-0.8532804284831152,2001,North Interior,winter
LAI,0.07466901,0.6350610941043053,2001,North Interior,winter
min_relative_humidity,0.0903927,-0.853037895984531,2001,North Interior,winter
veg_Native Desert ,0.10736522,-0.9919957865198902,2001,North Interior,winter
min_air_temperature,0.11875681,-0.8651972993849759,2001,North Interior,winter
specific_humidity,0.12100962,-0.709250003315952,2001,North Interior,winter
line_density_km_per_cell,0.16345789,0.8187845329333446,2001,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.17636949,-0.40780335200989315,2001,North Interior,winter
dead_fuel_moisture_1000hr,0.24633515,-0.9291504604087206,2001,North Interior,winter
road_density_km_km2,0.25229162,0.49951599225128995,2001,North Interior,winter
population_density,0.558502,0.2644640865210533,2001,North Interior,winter
max_air_temperature,0.86877924,0.9751584515969706,2001,North Interior,winter
veg_Native Grassland ,0.03550234,-0.9695265719246982,2001,Sierra Nevada,summer
wind_speed,0.043239716,0.6930134728424123,2001,Sierra Nevada,summer
veg_Native Conifer Forest ,0.045177516,0.533017400813145,2001,Sierra Nevada,summer
min_air_temperature,0.045684863,-0.41005671282516315,2001,Sierra Nevada,summer
specific_humidity,0.05665042,-0.6986568737230323,2001,Sierra Nevada,summer
min_relative_humidity,0.073278196,-0.4546437808969512,2001,Sierra Nevada,summer
LAI,0.08924557,0.7460467742425463,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.104753956,-0.4283364012637213,2001,Sierra Nevada,summer
slope_max,0.10609182,0.5348288686942189,2001,Sierra Nevada,summer
line_density_km_per_cell,0.11183714,0.7048720832478448,2001,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.11685387,0.7724001582126598,2001,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.29890814,-0.3270904410893268,2001,Sierra Nevada,summer
road_density_km_km2,0.3209958,0.6386880961638659,2001,Sierra Nevada,summer
max_air_temperature,0.3828608,0.895232679914422,2001,Sierra Nevada,summer
population_density,0.7813771,0.45900676845908056,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.063848294,-0.10097134671706494,2001,Sierra Nevada,winter
veg_Native Conifer Forest ,0.06878649,0.8228172570472582,2001,Sierra Nevada,winter
min_air_temperature,0.0704015,-0.3755804553053089,2001,Sierra Nevada,winter
precipitation_amount,0.084105656,-0.8986992817539716,2001,Sierra Nevada,winter
wind_speed,0.08453581,0.8151071052495439,2001,Sierra Nevada,winter
line_density_km_per_cell,0.0956485,0.6382528214076456,2001,Sierra Nevada,winter
specific_humidity,0.10862129,-0.3829885569437111,2001,Sierra Nevada,winter
min_relative_humidity,0.11094508,-0.76991730226879,2001,Sierra Nevada,winter
slope_max,0.11449624,0.32218012318189637,2001,Sierra Nevada,winter
LAI,0.12924549,0.6627834064458089,2001,Sierra Nevada,winter
surface_downwelling_shortwave_flux_in_air,0.15328506,0.45522035640540964,2001,Sierra Nevada,winter
dead_fuel_moisture_1000hr,0.23550025,-0.8115214996622175,2001,Sierra Nevada,winter
road_density_km_km2,0.2699584,0.6256090734371236,2001,Sierra Nevada,winter
max_air_temperature,0.572429,0.9546737248539634,2001,Sierra Nevada,winter
population_density,0.7656548,0.4964297476233859,2001,Sierra Nevada,winter
wind_speed,0.039104857,0.6581529041002802,2001,South Coast,summer
veg_Native Chapparal ,0.043475125,0.4848323275863244,2001,South Coast,summer
specific_humidity,0.043827843,-0.32813600969966766,2001,South Coast,summer
min_air_temperature,0.04779578,-0.20030258753469943,2001,South Coast,summer
wind_direction_category_SW,0.051547024,0.8303503993223778,2001,South Coast,summer
dead_fuel_moisture_100hr,0.07152263,-0.5940878508240379,2001,South Coast,summer
min_relative_humidity,0.100761734,-0.734922028087756,2001,South Coast,summer
