feature,mean_abs_shap,corr,year,area,season
max_relative_humidity,0.05746843,0.8981493437527783,2001,North Interior,winter
dead_fuel_moisture_100hr,0.061512083,0.15995170328142064,2001,North Interior,winter
precipitation_amount,0.06817689,-0.23622663674604835,2001,North Interior,winter
wind_speed,0.090805136,0.7065796328597089,2001,North Interior,winter
min_air_temperature,0.0917284,0.2676195300967878,2001,North Interior,winter
slope_max,0.10716802,-0.39581681106067323,2001,North Interior,winter
veg_group_Desert,0.12545238,-0.9833282933337268,2001,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.13263997,-0.8203932415576048,2001,North Interior,winter
min_relative_humidity,0.14446948,-0.8310509272078948,2001,North Interior,winter
specific_humidity,0.15973158,-0.7629142598211704,2001,North Interior,winter
dead_fuel_moisture_1000hr,0.17796539,-0.8581665889091461,2001,North Interior,winter
LAI,0.20143384,0.926272574011389,2001,North Interior,winter
line_density_km_per_cell,0.2588841,0.8631740792616626,2001,North Interior,winter
road_density_km_km2,0.5286909,0.7775103371531245,2001,North Interior,winter
max_air_temperature,0.9180296,0.9784321607469072,2001,North Interior,winter
min_air_temperature,0.040110696,0.5100603034430333,2001,Sierra Nevada,summer
wind_direction_category_S,0.042022295,0.9258072088322188,2001,Sierra Nevada,summer
wind_direction_category_SW,0.046848413,0.9028648212610094,2001,Sierra Nevada,summer
veg_group_Grassland,0.05131714,-0.9305668617925983,2001,Sierra Nevada,summer
max_relative_humidity,0.052446622,0.2851606822058299,2001,Sierra Nevada,summer
specific_humidity,0.07131866,-0.7163184520081388,2001,Sierra Nevada,summer
min_relative_humidity,0.07436778,-0.21350172139775833,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.07780598,-0.24362738960333843,2001,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.09352388,0.6940176151664289,2001,Sierra Nevada,summer
slope_max,0.12118274,0.3471551696728604,2001,Sierra Nevada,summer
LAI,0.16833311,0.8612731136337791,2001,Sierra Nevada,summer
line_density_km_per_cell,0.17169783,0.8176710376901943,2001,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.25706747,0.47719588211029623,2001,Sierra Nevada,summer
max_air_temperature,0.521134,0.9333203509736008,2001,Sierra Nevada,summer
road_density_km_km2,0.60532594,0.7482071985945888,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.05685568,-0.1356293898972474,2001,Sierra Nevada,winter
min_air_temperature,0.05974849,0.06092827182944412,2001,Sierra Nevada,winter
max_relative_humidity,0.066190034,0.5800427667224751,2001,Sierra Nevada,winter
veg_group_Grassland,0.066488594,-0.9600833453063485,2001,Sierra Nevada,winter
precipitation_amount,0.08827086,-0.9179977972588526,2001,Sierra Nevada,winter
min_relative_humidity,0.0964845,-0.7216624891277326,2001,Sierra Nevada,winter
surface_downwelling_shortwave_flux_in_air,0.098913655,0.2694974492841237,2001,Sierra Nevada,winter
wind_speed,0.10609363,0.8318617957396534,2001,Sierra Nevada,winter
slope_max,0.11693303,0.3646540566620325,2001,Sierra Nevada,winter
specific_humidity,0.16235757,-0.7132397869505771,2001,Sierra Nevada,winter
line_density_km_per_cell,0.1856109,0.7876019626383489,2001,Sierra Nevada,winter
dead_fuel_moisture_1000hr,0.19705003,-0.678827987773799,2001,Sierra Nevada,winter
LAI,0.21157032,0.6864094264746381,2001,Sierra Nevada,winter
road_density_km_km2,0.5674069,0.6938436502693757,2001,Sierra Nevada,winter
max_air_temperature,0.6373242,0.9633657957481093,2001,Sierra Nevada,winter
veg_group_Grassland,0.054734487,-0.49026687402694574,2001,South Coast,summer
dead_fuel_moisture_100hr,0.055962365,-0.10947855721153912,2001,South Coast,summer
veg_group_Shrub,0.059642266,0.901563977978892,2001,South Coast,summer
specific_humidity,0.06692508,-0.48810957500845714,2001,South Coast,summer
max_relative_humidity,0.07494578,0.6943678485515027,2001,South Coast,summer
min_relative_humidity,0.093854174,-0.48466575350055163,2001,South Coast,summer
veg_group_Chaparral,0.10119248,0.861679019340513,2001,South Coast,summer
wind_direction_category_SW,0.116293,0.8834741128256376,2001,South Coast,summer
surface_downwelling_shortwave_flux_in_air,0.12388031,0.7316089441340184,2001,South Coast,summer
slope_max,0.15813829,-0.3785941177844093,2001,South Coast,summer
LAI,0.17621608,0.3762361239770041,2001,South Coast,summer
dead_fuel_moisture_1000hr,0.18599036,-0.07997699190981784,2001,South Coast,summer
line_density_km_per_cell,0.36236942,0.511070688709835,2001,South Coast,summer
road_density_km_km2,0.8120394,0.6301045555565404,2001,South Coast,summer
max_air_temperature,0.86506975,0.8551283541151763,2001,South Coast,summer
veg_group_Grassland,0.0471782,-0.9113158718095156,2001,South Coast,winter
min_air_temperature,0.05705643,0.1220463597733224,2001,South Coast,winter
veg_group_Chaparral,0.059853576,0.8031127771968192,2001,South Coast,winter
dead_fuel_moisture_100hr,0.07551172,0.3116609956427732,2001,South Coast,winter
wind_speed,0.08644477,0.752799050252354,2001,South Coast,winter
max_relative_humidity,0.0926189,0.34485878078549725,2001,South Coast,winter
surface_downwelling_shortwave_flux_in_air,0.12466372,0.16141631974013002,2001,South Coast,winter
slope_max,0.13421917,-0.5131080220554955,2001,South Coast,winter
LAI,0.13682936,0.6760166629618356,2001,South Coast,winter
specific_humidity,0.1914004,-0.7230386673985908,2001,South Coast,winter
min_relative_humidity,0.20556499,-0.7776811995246158,2001,South Coast,winter
line_density_km_per_cell,0.25832853,0.6398722056479095,2001,South Coast,winter
dead_fuel_moisture_1000hr,0.277196,-0.5604085113351496,2001,South Coast,winter
max_air_temperature,0.46349707,0.9686265142924421,2001,South Coast,winter
road_density_km_km2,0.73771065,0.681432413015601,2001,South Coast,winter
wind_direction_category_N,0.042978477,0.4016640083992382,2002,North Coast,summer
min_air_temperature,0.046566755,0.6088138609019057,2002,North Coast,summer
veg_group_Conifer Alpine,0.04978557,0.8435604448020488,2002,North Coast,summer
min_relative_humidity,0.06333778,-0.27726666202994404,2002,North Coast,summer
specific_humidity,0.07771253,-0.7009000792584739,2002,North Coast,summer
wind_speed,0.097718105,0.635724183282697,2002,North Coast,summer
veg_group_Shrub,0.10101035,0.8853232165230724,2002,North Coast,summer
max_relative_humidity,0.10340187,0.8410162986173291,2002,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.14160588,0.7040850498010173,2002,North Coast,summer
dead_fuel_moisture_1000hr,0.1878997,-0.8491165626923548,2002,North Coast,summer
LAI,0.25453368,0.5334501286098509,2002,North Coast,summer
slope_max,0.3682123,0.3324075374874659,2002,North Coast,summer
line_density_km_per_cell,0.44386107,0.21279415650405434,2002,North Coast,summer
max_air_temperature,0.7058561,0.8541486495066074,2002,North Coast,summer
road_density_km_km2,0.7621086,0.5879292973355562,2002,North Coast,summer
min_air_temperature,0.05581543,0.5443320444794467,2002,North Coast,winter
max_relative_humidity,0.08705613,0.5785851466756311,2002,North Coast,winter
dead_fuel_moisture_100hr,0.08806447,0.08476681271749857,2002,North Coast,winter
precipitation_amount,0.1005869,-0.910762920129919,2002,North Coast,winter
min_relative_humidity,0.102732494,-0.8274389531886888,2002,North Coast,winter
wind_speed,0.11839605,0.7496879436786468,2002,North Coast,winter
specific_humidity,0.12156565,-0.7502162004056397,2002,North Coast,winter
veg_group_Conifer Alpine,0.1276891,0.845453330870616,2002,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.12978593,-0.6065661370244139,2002,North Coast,winter
dead_fuel_moisture_1000hr,0.16798419,-0.8154614040292941,2002,North Coast,winter
LAI,0.18515989,0.5755817184275768,2002,North Coast,winter
slope_max,0.2627064,0.4465354209918579,2002,North Coast,winter
line_density_km_per_cell,0.27221575,0.4381811049973694,2002,North Coast,winter
max_air_temperature,0.4419582,0.9389369541609353,2002,North Coast,winter
road_density_km_km2,0.7228932,0.6678522245737386,2002,North Coast,winter
veg_group_Grassland,0.036019217,-0.9083439853328589,2002,Central Coast,summer
veg_group_Conifer Forest,0.046702214,-0.5990982063470277,2002,Central Coast,summer
min_relative_humidity,0.05578287,-0.3252123215125862,2002,Central Coast,summer
wind_speed,0.062048167,0.7398557323727627,2002,Central Coast,summer
min_air_temperature,0.06423096,0.5172091294519492,2002,Central Coast,summer
specific_humidity,0.077146254,-0.5545071874688924,2002,Central Coast,summer
max_relative_humidity,0.08115949,0.763832104762349,2002,Central Coast,summer
veg_group_Shrub,0.08356749,0.627429934453624,2002,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.15666123,0.7617827411869137,2002,Central Coast,summer
LAI,0.16548254,0.7252986208640427,2002,Central Coast,summer
slope_max,0.17200062,-0.3161493682001587,2002,Central Coast,summer
dead_fuel_moisture_1000hr,0.19896637,-0.6171219419338412,2002,Central Coast,summer
line_density_km_per_cell,0.22548015,0.7613739123197178,2002,Central Coast,summer
road_density_km_km2,0.5869536,0.5517530873139092,2002,Central Coast,summer
max_air_temperature,0.77563876,0.8628636526277788,2002,Central Coast,summer
dead_fuel_moisture_100hr,0.052565612,0.05307495725585313,2002,Central Coast,winter
min_air_temperature,0.055495672,0.3824858021022754,2002,Central Coast,winter
veg_group_Conifer Alpine,0.05631888,0.9313553568248133,2002,Central Coast,winter
veg_group_Shrub,0.061510306,0.876807804092584,2002,Central Coast,winter
max_relative_humidity,0.06878001,0.7516477654773025,2002,Central Coast,winter
min_relative_humidity,0.07887426,-0.7177789511490047,2002,Central Coast,winter
wind_speed,0.08791398,0.6524813834898291,2002,Central Coast,winter
specific_humidity,0.10321074,-0.779704871821231,2002,Central Coast,winter
surface_downwelling_shortwave_flux_in_air,0.15116563,0.18808028954988462,2002,Central Coast,winter
slope_max,0.15231624,-0.6286342928431876,2002,Central Coast,winter
dead_fuel_moisture_1000hr,0.20493534,-0.8817209819948013,2002,Central Coast,winter
line_density_km_per_cell,0.20947735,0.5530429285452445,2002,Central Coast,winter
LAI,0.24247028,0.6909193653888311,2002,Central Coast,winter
max_air_temperature,0.49862677,0.9354708537496459,2002,Central Coast,winter
road_density_km_km2,0.5798614,0.5585332192640117,2002,Central Coast,winter
veg_group_Conifer Forest,0.037665583,-0.5170620319593789,2002,North Interior,summer
veg_group_Desert,0.04293084,-0.9740481999949351,2002,North Interior,summer
wind_speed,0.048453573,0.7790029915925107,2002,North Interior,summer
min_relative_humidity,0.0539713,0.2352519736643848,2002,North Interior,summer
veg_group_Grassland,0.06244167,-0.8428389221851795,2002,North Interior,summer
max_relative_humidity,0.07340528,0.609458913489892,2002,North Interior,summer
min_air_temperature,0.09556948,0.7939765496847389,2002,North Interior,summer
specific_humidity,0.09625408,-0.8003380346891588,2002,North Interior,summer
surface_downwelling_shortwave_flux_in_air,0.10413985,0.6920166405188762,2002,North Interior,summer
slope_max,0.14379665,0.33213527598557624,2002,North Interior,summer
LAI,0.1815237,0.8379056123247677,2002,North Interior,summer
line_density_km_per_cell,0.19330135,0.7446538326857689,2002,North Interior,summer
